"business_status","geometry__location__lat","geometry__location__lng","geometry__viewport__|","geometry__viewport__|__lat","geometry__viewport__|__lng","icon","icon_background_color","icon_mask_base_uri","name","opening_hours__open_now","photos__height","photos__html_attributions__-","photos__photo_reference","photos__width","place_id","plus_code__compound_code","plus_code__global_code","price_level","rating","reference","scope","types__001","types__002","types__003","types__004","types__005","types__006","user_ratings_total","vicinity"
"OPERATIONAL","45.5227158","-122.9844849","northeast","45.52401568029151","-122.9831510697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Amelia's Exquisite Mexican Dining","True","750","<a href=""https://maps.google.com/maps/contrib/117741356720959841168"">Amelia&#39;s Exquisite Mexican Dining</a>","AWU5eFiA1sf2d9PuaCsNUPkQ_Ua3GoJFDcsLSNAlj8xoZgpfKH5ECPmLIgKsHXYomnrVxHoZ5W3k0723-sY_mlu8vljhZHsVeFeZTKhXZ6QOfkURhFzVHEFp3yJgEDPzKuvZGrl5222sXd67uSLLTkW7sv25q1itOmRYZUffFGanhPrErk44","1000","ChIJUXjP06QalVQR1ip77-vRHGA","G2F8+36 Hillsboro, OR, USA","84QVG2F8+36","2","4.4","ChIJUXjP06QalVQR1ip77-vRHGA","GOOGLE","restaurant","point_of_interest","food","establishment","","","1151","105 Northeast 4th Avenue, Hillsboro"
"","","","southwest","45.52131771970851","-122.9858490302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5193214","-122.9908676","northeast","45.5206984302915","-122.9896215197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Elmer's Restaurant","True","3000","<a href=""https://maps.google.com/maps/contrib/107924169000832138340"">Anthony Caparula</a>","AWU5eFjjPv61U_-A_m0t1hJ7pUiSQjBTIJijYnSOBO1jt039GvSTeQ_WFJ8BTnaYFM2iERIkXVCTO5_Ws2xvhyx1S8g-XxxqTW4QyyO82ogG-uAn5K8iXsL591k5QSrbejK8Aasi2o6_V6kMs7cqs0lCtvn0mlYtmfbXaaEvMbkJ6Xpgipgx","4000","ChIJUUJE66IalVQRqTwGMC449Kg","G295+PM Hillsboro, OR, USA","84QVG295+PM","2","4.3","ChIJUUJE66IalVQRqTwGMC449Kg","GOOGLE","restaurant","point_of_interest","food","establishment","","","2048","390 Southwest Adams Avenue, Hillsboro"
"","","","southwest","45.5180004697085","-122.9923194802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5303127","-122.96202","northeast","45.5317442302915","-122.9607084197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Dancing Dragon Restaurant","True","3000","<a href=""https://maps.google.com/maps/contrib/118419529115488593052"">Angela Cleverdon</a>","AWU5eFgeHgq4TW50EUVv-pW47E9-ZLvs8ZKokZ1dWcnoLDp3s_W7d5ODikIq9EuMmgjFQ8XXdFmA6HP7CtuhgcVSAEt2lu_4iH9GmNKQcBXS75NeHSldAqc-lFbtHINnszTqWeiEbLRVmaBZEzDJR2U2xtm0a3Fz5N13N1tGrEZ06T9c8ddZ","4000","ChIJAw3f_VEFlVQR5Hd6s3YL3pQ","G2JQ+45 Hillsboro, OR, USA","84QVG2JQ+45","2","3.9","ChIJAw3f_VEFlVQR5Hd6s3YL3pQ","GOOGLE","restaurant","point_of_interest","food","establishment","","","347","1940 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.5290462697085","-122.9634063802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.52913789999999","-122.9561862","northeast","45.5305883802915","-122.9547493197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","IHOP","True","3072","<a href=""https://maps.google.com/maps/contrib/114911362109948496193"">Theresa Rea</a>","AWU5eFiS9y9rDai8FC7FuRE9-m7c1wRBc5PyYuQRdzVGoZ7iXYigbWSOLD5YzrOZWsHu6XKqj625FqTwQUNDCFQ3nagHWP5MRLuA72FdrBqxkSnsgIP5KBZDDdFejKFd2QhfEv2TS_k58Tik8WFYnlUl_DvTsOBev1NrFLfFFINx01__Cvz6","4080","ChIJxzL2CVEFlVQRcoupdvRsOl4","G2HV+MG Hillsboro, OR, USA","84QVG2HV+MG","1","4","ChIJxzL2CVEFlVQRcoupdvRsOl4","GOOGLE","restaurant","point_of_interest","food","establishment","","","1251","849 Northeast 25th Avenue, Hillsboro"
"","","","southwest","45.52789041970851","-122.9574472802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5311652","-122.9586447","northeast","45.5325504302915","-122.9572005697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Vivi's Vietnamese Noodle House","True","2250","<a href=""https://maps.google.com/maps/contrib/100592725538643396435"">Yulily</a>","AWU5eFhk-_qZGhNk4JKLHm0GvOunYgfaYlefaLn5QwrUa0kyxQ8STVsGSMdGaWWOK3sXub94-sRq406luX6IAwcleKfRmTTIj8a4-By71-AoxV4ebWNOCpglpATqjI51E70ucJ9JdCS9lrbis4h3IsCGx-jD8rtf89YXVvjKKSevGbt6W9UG","4000","ChIJi7RS308FlVQRLnZXH_KyOSM","G2JR+FG Hillsboro, OR, USA","84QVG2JR+FG","2","4.6","ChIJi7RS308FlVQRLnZXH_KyOSM","GOOGLE","restaurant","point_of_interest","food","establishment","","","1073","2401 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.52985246970851","-122.9598985302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.53461370000001","-122.9165747","northeast","45.5359516302915","-122.9153397697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Hillsboro Swagat Indian Cuisine","True","533","<a href=""https://maps.google.com/maps/contrib/103254915043452095493"">Hillsboro Swagat Indian Cuisine</a>","AWU5eFjkhAEMRwsCTl8eFqmS5cnQgRX2oEJPTfAMC1zuqiXwp8_EFRsA1Japxs5I39Q0PgPiAiEkvyq5kSUG8IgfGqCdlzSy0bLSESshjAP-weC5hPv1q2JV5U8cNOFGR1llz5tWwL_ypB2KUKkIcEZYSaOPL0w-93yI3FuI8ZKiY3FKVP2H","800","ChIJj8p0hIcPlVQRHZTxzjpTj-0","G3MM+R9 Hillsboro, OR, USA","84QVG3MM+R9","2","4","ChIJj8p0hIcPlVQRHZTxzjpTj-0","GOOGLE","bar","restaurant","point_of_interest","food","establishment","","1005","1340 Northeast Orenco Station Parkway, Hillsboro"
"","","","southwest","45.5332536697085","-122.9180377302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5313113","-122.9586169","northeast","45.5326790302915","-122.9571998697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Thai Princess Restaurant","True","2988","<a href=""https://maps.google.com/maps/contrib/112820831615296195311"">Paul Boatwright</a>","AWU5eFiS0tImnLor7ChNYNNKmCQ-UkmgCI635I59t8XYfYqZb788FW1gsmibS6O6D0die2pIQOvaQw5aaeFUSYNUjsA2Qm30KFRKNqg1N_dx7dQPB64jJmqjhRWkLLXmkq57CqATh91Wlfl0htNHPq-EyJdCin0MXrcOBLJ5tv16Vcs7-D-g","5312","ChIJyyLqLlAFlVQRak01OCytghs","G2JR+GH Hillsboro, OR, USA","84QVG2JR+GH","2","4","ChIJyyLqLlAFlVQRak01OCytghs","GOOGLE","restaurant","point_of_interest","food","establishment","","","312","2401 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.52998106970851","-122.9598978302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.53157909999999","-122.9572753","northeast","45.53246978029149","-122.9558905697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Little Caesars Pizza","True","3024","<a href=""https://maps.google.com/maps/contrib/103552346234662196267"">Berto Mendoza</a>","AWU5eFhZTETjf9HjQLEI39t9_38oVNESEwZEqIb94rnptj5wk3MLIK1ziCSKi8ov7Do1vb2Iv7yxk6WrD_xVZr9D9xuhXDoGbPdhn8mOy002rI5ekabF3m0ey5MgCWMHx1bi5PoO_lUBEr1flnIoJk562woX9_mQiog-1qBTUUZ1icq5wBhn","4032","ChIJlWJILVAFlVQRn5d6F0aEBeo","G2JV+J3 Hillsboro, OR, USA","84QVG2JV+J3","1","3.8","ChIJlWJILVAFlVQRn5d6F0aEBeo","GOOGLE","meal_delivery","meal_takeaway","restaurant","point_of_interest","food","establishment","351","2401 Northeast Cornell Road Ste Z, Hillsboro"
"","","","southwest","45.52977181970849","-122.9585885302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.53116969999999","-122.957802","northeast","45.5324481802915","-122.9563659197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Burgerville","True","2600","<a href=""https://maps.google.com/maps/contrib/113088249166450931672"">Chill Hillington</a>","AWU5eFiYGlYGNrHphC9yMIezjAUZ9OnBb3xEkdEhS5uUgrLCnBizvZSFus3_5Jg5YG5nFXz_XOAEC3E0uoXOeaUm62FUbH_6mv5HiiFJFbxhScAhMJY0TFb-gkHd2wyRYSAz9C8O5ntmv7LOt-1W9Mwv9yJiz4-7N2Ab76-PhTBqYOsuTtjA","4624","ChIJyyLqLlAFlVQRCnEd-YPKctk","G2JR+FV Hillsboro, OR, USA","84QVG2JR+FV","2","4","ChIJyyLqLlAFlVQRCnEd-YPKctk","GOOGLE","meal_takeaway","restaurant","point_of_interest","food","store","establishment","1182","2401 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.5297502197085","-122.9590638802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5207959","-122.974207","northeast","45.5222080802915","-122.9728409197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet","Starbucks","True","2506","<a href=""https://maps.google.com/maps/contrib/104197414107712900249"">Kyle Eldridge</a>","AWU5eFjzVNWNA5h2i6uQb81sKaiSWUS7Fhrjtyga_XTrf9eJ9WG_CmFtF43CV1FJYZCJsOycjHj8gpAXJ2ZlrKIAEIEwaZ9I6CDo_bR-6Tvn6EERyChlvW-B1_1ROjy9HJ6j8hRcGaRThrz2NBCiTvmadHLqiNcuD3ThgpQPUVdOcAKAsU4y","3328","ChIJn4XNyagalVQRywI8ysKemTE","G2CG+88 Hillsboro, OR, USA","84QVG2CG+88","2","4.1","ChIJn4XNyagalVQRywI8ysKemTE","GOOGLE","cafe","restaurant","point_of_interest","food","store","establishment","361","215 Southeast 10th Avenue, Hillsboro"
"","","","southwest","45.5195101197085","-122.9755388802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5052921","-122.9563481","northeast","45.5066977302915","-122.9549998697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Red Robin Gourmet Burgers and Brews","True","608","<a href=""https://maps.google.com/maps/contrib/110230952354066698034"">Red Robin Gourmet Burgers and Brews</a>","AWU5eFg098mHr_e5iINu3nvsLhT80bv6xG7VNpDb6noY_Va7VUh_A6gmVJUIGFcPAOU2WxiBp45s3OULAf9qFPoN2_5lVPuyer1UNpRZwteQBkWJpLS2o57vidrQIzoTEwLbbxKO0cGGTsrRkQ4qDTSHptTFEfjnx1wRJHpkJMWEjxI6amnO","1080","ChIJ-UJwUBcQlVQReQvFgVNkyN0","G24V+4F Hillsboro, OR, USA","84QVG24V+4F","2","4.1","ChIJ-UJwUBcQlVQReQvFgVNkyN0","GOOGLE","restaurant","bar","meal_takeaway","point_of_interest","food","establishment","1730","2405 Southeast Tualatin Valley Highway, Hillsboro"
"","","","southwest","45.5039997697085","-122.9576978302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5060777","-122.9582207","northeast","45.50738293029151","-122.9569116697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Panda Express","True","3120","<a href=""https://maps.google.com/maps/contrib/115464587571050485998"">Valentine Power</a>","AWU5eFiA0yMNhSjE-WlKU8wwvY4zAAFmZFL7_2mQlaLzC6FN67Osr4dVqgVUQwVad8Q5Bng1n-yJCPz82FVfxGeNwDUJiOtQFuyAyHaIdkoE_jlwpygmurCX4FV1tuylrSA75H1c-9aZZl3LKpZJl5QjgRnA0qPr4_tswcTOZjwV0KJjL9Vr","4160","ChIJzZtgsRAQlVQRD8IRi3qYy2g","G24R+CP Hillsboro, OR, USA","84QVG24R+CP","1","3.9","ChIJzZtgsRAQlVQRD8IRi3qYy2g","GOOGLE","restaurant","point_of_interest","food","establishment","","","679","2275 Southeast Tualatin Valley Highway, Hillsboro"
"","","","southwest","45.50468496970851","-122.9596096302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.50552059999999","-122.9569815","northeast","45.50693723029149","-122.9557635697085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Shari's Cafe and Pies","True","4032","<a href=""https://maps.google.com/maps/contrib/117654323500286223711"">Nes Borne</a>","AWU5eFjyYUmmAvcKXBNKnIoqpFIyhiQqlU6xc-VXo2yfjQzhbDsXqq6uDOss5thd63rcWtb4lCgY4nbzjLvXJjnUUo7Juox_47gUuxJkkJCWo7fzv4ULF3aq7YtpLIke4ckFRC5lwDnHHDg0czkMJ_uJRfjgw6T6_a88uNIE88M8DF01NRlR","3024","ChIJvTg6URcQlVQRel-EsQdUzDo","G24V+66 Hillsboro, OR, USA","84QVG24V+66","2","3.7","ChIJvTg6URcQlVQRel-EsQdUzDo","GOOGLE","restaurant","point_of_interest","bakery","food","store","establishment","1385","2385 Southeast Tualatin Valley Highway, Hillsboro"
"","","","southwest","45.50423926970849","-122.9584615302915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.5342522","-122.9170608","northeast","45.53557653029149","-122.9155810197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Orenco Station Grill","True","1445","<a href=""https://maps.google.com/maps/contrib/118062443008555503855"">Orenco Station Grill</a>","AWU5eFimsDLQPVaPF9n2FfZA3iDaED00_QYi35sck0Ig5hQCPP8FOCjCrfXHMAuhzndgEFdUvn_vum6UqUoVqYRtrEBqTEql-wjOJ9GZxIAojlQSGcvr3Pej6kcinEWrezBliMq1teRC_wLGtMvHazrQd07RXUJwhWNOeeIsafoGDYOobZXd","2176","ChIJd7IqhIcPlVQRGajeeAhT338","G3MM+P5 Hillsboro, OR, USA","84QVG3MM+P5","2","4.2","ChIJd7IqhIcPlVQRGajeeAhT338","GOOGLE","bar","restaurant","point_of_interest","food","establishment","","641","6195 Northeast Cornell Road, Hillsboro"
"","","","southwest","45.53287856970849","-122.9182789802915","","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONAL","45.53452890000001","-122.9169944","northeast","45.5358527802915","-122.9155491197085","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Yuki | Japanese Restaurant","True","3072","<a href=""https://maps.google.com/maps/contrib/104197414107712900249"">Kyle Eldridge</a>","AWU5eFgqyF-Ci6NHm5uy8T2RIIE1RfSXscH-epvASZqk_XYtoePo3QQ0b-9Fzb6BY4a2xljccT9ZhxinwucsY3eA6Vzx9QOoSFJvC6ghfHEQrKGYzENvbuDyzaT9mjPMr8IHzTIagdETLx6XbzYgGQt5P4-78pn9oGN21CDcFg4Tn0BeXr-K","4080","ChIJATd2hIcPlVQRQ_89XoSedA8","G3MM+R6 Hillsboro, OR, USA","84QVG3MM+R6","2","4.3","ChIJATd2hIcPlVQRQ_89XoSedA8","GOOGLE","bar","restaurant","point_of_interest","food","establishment","","475","1335 Northeast Orenco Station Parkway East, Hillsboro"
"","","","southwest","45.5331548197085","-122.9182470802915","","","","","","","","","","","","","","","","","","","","","","","",""
